,ï»¿id,is_misinfo,Texts,id,clean_text,word_count,is_emoji,is_link,hashtag,tag
0,"1,35E+18",0,#VaccinesWork #CovidVaccine First responders receiving the first doses of the vaccine. @RiversideL2881 @calfirel2881 @CAFirefighters @CaliforniaLabor @ACHDnews @CalNurses @CSDAdistricts @CASenateDems @AssemblyDems https://t.co/MU8syBV3Cs,,vaccineswork covidvaccin first respond receiv the first dose of the vaccin riversidel calfirel cafirefight californialabor achdnew calnurs csdadistrict casenatedem assemblydem,21,0,1,5160,1113
1,"1,35E+18",0,"If you use to eat food from the Dixie chicken in durham that had a 0 star food hygiene rating, you donât need to worry about what is in the vaccine.",,if you use to eat food from the dixi chicken in durham that had a star food hygien rate you donât need to worri about what is in the vaccin,31,0,0,5160,1113
2,"1,35E+18",1,"It's absolutely terrifying that I could just have my life ripped away because of any tiny mistake.

Meanwhile there's a rushed vaccine available and my state doesn't even know how they want to distribute it.",,it s absolut terrifi that i could just have my life rip away becaus of ani tini mistak meanwhil there s a rush vaccin avail and my state doe nt even know how they want to distribut it,34,0,0,5160,1113
3,"1,34E+18",1,"This compulsory vaccination will eventually lead to depopulation. Playing god never end well. Smallpox was stopped by cowpox. It was not invented by Man, just discovered by man. 
This rna vaccine to ""trick"" the brain to create protein which ""shld"" result in immunisation",,this compulsori vaccin will eventu lead to depopul play god never end well smallpox was stop by cowpox it was not invent by man just discov by man this rna vaccin to trick the brain to creat protein which shld result in immunis,43,0,0,5160,1113
4,"1,34E+18",0,"i really doubt 2021 will be much different imo because corona will probably ruin it, so iâm not too excited but hopefully at some point the vaccine works and things can get a little better for everyone. but i still hope 2021 is good for you all regardless :) happy new year!!",,i realli doubt will be much differ imo becaus corona will probabl ruin it so iâm not too excit but hope at some point the vaccin work and thing can get a littl better for everyon but i still hope is good for you all regardless happi new year,52,0,0,5160,1113
5,"1,35E+18",1,I wonder how long it will be before the side effects of an unproven vaccine are chalked up to long term covid effects. I have no doubt that is how it will be played,,i wonder how long it will be befor the side effect of an unproven vaccin are chalk up to long term covid effect i have no doubt that is how it will be play,34,0,0,5160,1113
6,"1,34E+18",0,"If you buy very out of season fruits or vegetables grown in Central America, absolutely do not worry about what's in the vaccine.
Seriously, as an experiment I've had Chilean blueberries for 3 months. They are still ""fresh"". They taste terrible, as they always did, but no mold.",,if you buy veri out of season fruit or veget grown in central america absolut do not worri about what s in the vaccin serious as an experi i ve had chilean blueberri for month they are still fresh they tast terribl as they alway did but no mold,47,0,0,5160,1113
7,"1,37E+18",0,The moment I get the vaccine Iâm outta here <U+2708><U+FE0F><U+0001F3DD><U+2600><U+FE0F>,,the moment i get the vaccin iâm outta here u ufef ufdd u ufef,10,1,0,5160,1113
8,"1,35E+18",0,My grandparents are getting the covid vaccine literally this weekend,,my grandpar are get the covid vaccin liter this weekend,10,0,0,5160,1113
9,"1,34E+18",1,"Is it fake news? A toxic vaccine? 
I strongly support zBig Don T!

But today a high ranking republican died after that Jab.
     Oh...throw the bidens in jail. Anyone into off grid.must be anti violence pro off grid contact",,is it fake news a toxic vaccin i strong support zbig don t but today a high rank republican die after that jab oh throw the biden in jail anyon into off gridmust be anti violenc pro off grid contact,42,0,0,5160,1113
